Rakam sınıfı;0;1;2;3;4;5;6;7;8;9;Ortalama
Accuracy değeri LVQ1;0.94;0.96;0.94;0.87;0.9;0.86;0.96;0.86;0.77;0.71;0.877
Accuracy değeri LVQ2.1;0.98;0.96;0.93;0.87;0.86;0.89;0.99;0.89;0.77;0.74;0.8880000000000001
Accuracy değeri LVQ3;0.89;0.96;0.96;0.87;0.93;0.89;0.98;0.88;0.78;0.87;0.901
